294:16 18 20 21 22 47
295:16 17 31 35 44 47  
296:16 17 28 29 41 47  
297:16 17 27 37 40 47
298:16 17 26 43 45 47  
299:16 17 24 38 46 47  
300:16 17 22 36 42 47
301:15 23 24 26 29 47  
302:15 22 29 38 42 47  
303:15 22 26 27 32 47
304:15 21 27 31 38 47  
305:15 21 24 36 40 47  
306:15 21 22 35 45 47
307:15 20 27 28 33 47  
308:15 20 24 32 39 47  
309:15 20 21 34 46 47
310:15 19 30 32 42 47  
311:15 19 28 35 38 47  
312:15 19 27 40 45 47
313:15 19 26 36 39 47  
314:15 18 30 33 43 47  
315:15 18 28 31 44 47
316:15 18 27 34 35 47  
317:15 18 26 37 42 47  
318:15 18 25 32 41 47
319:15 18 20 36 38 47  
320:15 17 33 38 39 47  
321:15 17 29 32 37 47
322:15 17 28 30 34 47  
323:15 17 27 41 46 47  
324:15 17 25 40 42 47
325:15 17 24 44 45 47  
326:15 17 18 21 23 47  
327:15 16 32 40 43 47
328:15 16 31 41 42 47  
329:15 16 29 44 46 47  
330:15 16 25 36 37 47
331:15 16 23 34 39 47  
332:15 16 18 19 24 47  
333:14 23 24 25 30 47
334:14 21 27 30 35 47  
335:14 21 24 28 32 47  
336:14 21 22 39 42 47
337:14 20 27 32 38 47  
338:14 20 26 33 40 47  
339:14 20 22 24 31 47
340:14 19 30 31 34 47  
341:14 19 27 37 42 47  
342:14 19 25 40 43 47
343:14 19 20 21 29 47  
344:14 18 31 38 42 47  
345:14 18 30 32 40 47
346:14 18 28 33 34 47  
347:14 18 26 35 39 47  
348:14 18 24 43 44 47
349:14 17 29 42 44 47  
350:14 17 28 31 39 47  
351:14 17 26 36 37 47
352:14 17 23 35 41 47  
353:14 17 21 33 43 47  
354:14 16 29 39 45 47
355:14 16 28 42 43 47  
356:14 16 27 33 46 47  
357:14 16 25 34 44 47
358:14 16 23 36 38 47  
359:14 16 18 37 41 47  
360:14 16 17 20 30 47
361:14 15 29 36 41 47  
362:14 15 28 37 46 47  
363:14 15 26 34 43 47
364:14 15 25 38 45 47  
365:14 15 23 32 44 47  
366:13 21 22 36 43 47
367:13 20 24 40 43 47  
368:13 20 23 33 45 47  
369:13 19 27 29 30 47
370:13 19 26 32 34 47  
371:13 19 24 31 45 47  
372:13 18 27 40 46 47
373:13 18 25 35 37 47  
374:13 18 24 26 33 47  
375:13 18 23 41 44 47
376:13 18 22 38 45 47  
377:13 17 27 34 39 47  
378:13 17 26 38 42 47
379:13 17 25 44 46 47  
380:13 17 23 37 43 47  
381:13 17 20 22 29 47
382:13 17 19 40 41 47  
383:13 16 29 35 38 47  
384:13 16 28 34 46 47
385:13 16 24 39 44 47  
386:13 16 23 25 27 47  
387:13 16 22 33 41 47
388:13 15 31 35 39 47  
389:13 15 29 33 40 47  
390:13 15 28 42 45 47
391:13 15 27 36 44 47  
392:13 15 24 37 41 47  
393:13 15 22 25 30 47
394:13 15 19 43 46 47  
395:13 15 16 21 26 47  
396:13 14 32 41 43 47
397:13 14 29 34 37 47  
398:13 14 26 30 45 47  
399:13 14 25 28 36 47
400:13 14 24 35 46 47  
401:13 14 23 39 40 47  
402:13 14 21 38 44 47
403:12 20 24 25 27 47  
404:12 20 22 33 43 47  
405:12 19 26 28 30 47
406:12 19 21 36 37 47  
407:12 18 29 30 44 47  
408:12 18 26 40 43 47
409:12 18 23 37 39 47  
410:12 18 21 33 35 47  
411:12 17 26 34 35 47
412:12 17 24 42 43 47  
413:12 17 23 28 33 47  
414:12 17 22 39 45 47
415:12 17 19 32 44 47  
416:12 16 30 31 45 47  
417:12 16 27 28 35 47
418:12 16 26 38 39 47  
419:12 16 24 34 36 47  
420:12 16 23 41 46 47
421:12 16 20 42 44 47  
422:12 16 17 18 25 47  
423:12 15 30 39 40 47
424:12 15 28 32 36 47  
425:12 15 26 41 45 47  
426:12 15 25 35 43 47
427:12 15 23 27 42 47  
428:12 15 22 34 37 47  
429:12 15 19 31 33 47
430:12 14 32 33 37 47  
431:12 14 30 38 43 47  
432:12 14 29 31 35 47
433:12 14 28 44 45 47  
434:12 14 27 34 41 47  
435:12 14 25 42 46 47
436:12 14 22 36 40 47  
437:12 13 32 35 40 47  
438:12 13 28 37 38 47
439:12 13 26 27 31 47  
440:12 13 25 34 45 47  
441:12 13 22 23 24 47
442:12 13 21 39 41 47  
443:12 13 20 36 46 47  
444:12 13 14 18 19 47
445:11 20 22 23 28 47  
446:11 19 24 30 46 47  
447:11 18 26 27 38 47
448:11 18 25 29 31 47  
449:11 18 24 40 42 47  
450:11 18 22 34 43 47
451:11 18 19 33 39 47  
452:11 17 29 30 39 47  
453:11 17 24 32 34 47
454:11 17 21 28 44 47  
455:11 17 19 31 38 47  
456:11 16 26 35 36 47
457:11 16 24 41 45 47  
458:11 16 21 31 34 47  
459:11 16 20 39 43 47
460:11 15 26 40 46 47  
461:11 15 25 39 44 47  
462:11 15 24 38 43 47
463:11 15 23 37 45 47  
464:11 15 22 33 36 47  
465:11 15 20 35 41 47
466:11 15 16 27 30 47  
467:11 14 27 36 43 47  
468:11 14 26 31 41 47
469:11 14 25 33 35 47  
470:11 14 24 37 39 47  
471:11 14 23 34 46 47
472:11 14 22 32 45 47  
473:11 13 30 31 32 47  
474:11 13 28 35 43 47
475:11 13 27 33 42 47  
476:11 13 24 29 36 47  
477:11 13 22 37 40 47
478:11 13 20 21 25 47  
479:11 13 14 15 17 47  
480:11 12 28 31 40 47
481:11 12 27 32 46 47  
482:11 12 25 37 41 47  
483:11 12 24 35 44 47
484:11 12 22 26 42 47  
485:11 12 21 43 45 47  
486:11 12 20 29 34 47
487:10 18 25 26 34 47  
488:10 18 24 27 31 47  
489:10 18 23 28 30 47
490:10 17 24 26 28 47  
491:10 17 23 31 34 47  
492:10 17 18 39 44 47
493:10 16 29 31 37 47  
494:10 16 26 33 42 47  
495:10 16 23 35 45 47
496:10 16 22 27 38 47  
497:10 16 19 40 46 47  
498:10 15 26 35 44 47
499:10 15 24 34 42 47  
500:10 15 23 40 41 47  
501:10 15 21 39 43 47
502:10 15 20 30 31 47  
503:10 15 18 45 46 47  
504:10 14 29 30 33 47
505:10 14 24 40 45 47  
506:10 14 22 44 46 47  
507:10 14 21 34 36 47
508:10 14 20 41 42 47  
509:10 14 19 32 35 47  
510:10 13 28 32 33 47
511:10 13 27 35 41 47  
512:10 13 26 36 40 47  
513:10 13 25 39 42 47
514:10 13 21 37 45 47  
515:10 13 16 30 43 47  
516:10 12 31 32 38 47
517:10 12 28 29 46 47  
518:10 12 27 33 44 47  
519:10 12 24 30 41 47
520:10 12 23 36 43 47  
521:10 12 20 37 40 47  
522:10 12 19 42 45 47
523:10 12 14 15 16 47  
524:10 11 29 35 42 47  
525:10 11 27 39 45 47
526:10 11 26 37 43 47  
527:10 11 25 38 46 47  
528:10 11 21 33 40 47
529:10 11 20 36 44 47  
530:10 11 19 28 41 47  
531: 9 18 24 25 46 47
532: 9 18 22 26 29 47  
533: 9 18 19 20 27 47  
534: 9 17 23 30 42 47
535: 9 17 22 33 34 47  
536: 9 16 29 30 34 47  
537: 9 16 21 27 39 47
538: 9 16 20 37 46 47  
539: 9 16 19 35 43 47  
540: 9 16 18 36 40 47
541: 9 15 23 36 46 47  
542: 9 15 22 43 44 47  
543: 9 15 21 33 42 47
544: 9 15 17 26 31 47  
545: 9 14 24 34 38 47  
546: 9 14 23 31 45 47
547: 9 14 22 35 37 47  
548: 9 14 21 41 46 47  
549: 9 14 20 25 39 47
550: 9 14 19 33 44 47  
551: 9 13 27 32 45 47  
552: 9 13 25 33 38 47
553: 9 13 23 28 29 47  
554: 9 13 21 34 35 47  
555: 9 13 18 39 43 47
556: 9 12 31 34 39 47  
557: 9 12 27 30 36 47  
558: 9 12 26 44 46 47
559: 9 12 23 38 40 47  
560: 9 12 22 28 41 47  
561: 9 12 20 35 45 47
562: 9 12 18 32 42 47  
563: 9 11 28 33 45 47  
564: 9 11 27 34 40 47
565: 9 11 25 30 43 47  
566: 9 11 23 32 35 47  
567: 9 11 21 36 38 47
568: 9 11 20 24 26 47  
569: 9 11 18 37 44 47  
570: 9 11 15 19 29 47
571: 9 11 12 13 16 47  
572: 9 10 30 35 39 47  
573: 9 10 28 31 43 47
574: 9 10 26 32 41 47  
575: 9 10 25 36 45 47  
576: 9 10 24 33 37 47
577: 9 10 21 23 44 47  
578: 9 10 17 29 40 47  
579: 9 10 13 19 22 47
580: 8 18 20 26 31 47  
581: 8 18 19 28 29 47  
582: 8 16 20 33 35 47
583: 8 16 19 34 42 47  
584: 8 16 17 32 39 47  
