143: 20 22 23 38 39 45 
144: 20 21 30 36 37 45 
145: 20 21 29 40 44 45 
146: 20 21 28 39 41 45 
147: 20 21 27 32 33 45 
148: 20 21 24 34 43 45 
149: 19 25 27 31 32 45 
150: 19 25 26 35 41 45 
151: 19 24 33 40 44 45 
152: 19 24 26 36 43 45 
153: 19 23 29 34 40 45 
154: 19 23 28 38 42 45 
155: 19 23 27 30 33 45 
156: 19 22 29 37 44 45 
157: 19 22 28 36 40 45 
158: 19 22 27 39 42 45 
159: 19 22 23 31 43 45 
160: 19 21 32 36 41 45 
161: 19 21 28 43 44 45 
162: 19 21 26 33 37 45 
163: 19 21 25 30 34 45 
164: 19 21 24 31 39 45 
165: 19 20 35 36 39 45 
166: 19 20 30 32 42 45 
167: 19 20 27 28 29 45 
168: 19 20 26 31 44 45 
169: 18 25 27 29 44 45 
170: 18 24 27 37 40 45 
171: 18 24 26 34 41 45 
172: 18 24 25 28 35 45 
173: 18 23 29 31 32 45 
174: 18 23 27 35 41 45 
175: 18 22 31 40 44 45 
176: 18 22 27 36 43 45 
177: 18 22 26 28 33 45 
178: 18 21 29 37 39 45 
179: 18 21 28 32 42 45 
180: 18 21 22 34 35 45 
181: 18 20 37 38 42 45 
182: 18 20 30 39 44 45 
183: 18 20 28 40 43 45 
184: 18 20 25 32 34 45 
185: 18 20 23 24 33 45 
186: 18 19 33 36 38 45 
187: 18 19 31 34 37 45 
188: 18 19 29 35 42 45 
189: 18 19 28 30 41 45 
190: 18 19 25 39 43 45 
191: 17 23 28 35 37 45 
192: 17 23 27 34 36 45 
193: 17 22 27 35 38 45 
194: 17 22 26 34 40 45 
195: 17 22 25 36 37 45 
196: 17 22 23 32 33 45 
197: 17 21 31 36 40 45 
198: 17 21 27 37 41 45 
199: 17 21 25 26 29 45 
200: 17 21 24 33 35 45 
201: 17 21 22 30 39 45 
202: 17 20 33 38 40 45 
203: 17 20 32 37 39 45 
204: 17 20 29 34 42 45 
205: 17 20 27 30 31 45 
206: 17 20 26 41 43 45 
207: 17 19 30 37 43 45 
208: 17 19 29 33 39 45 
209: 17 19 26 32 38 45 
210: 17 19 25 42 44 45 
211: 17 19 22 24 41 45 
212: 17 19 20 21 23 45 
213: 17 18 32 35 36 45 
214: 17 18 30 34 38 45 
215: 17 18 29 40 41 45 
216: 17 18 28 31 39 45 
217: 17 18 24 42 43 45 
